Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Stone Gettings ,84454,81,N/A,N/A,234
Braxton Key ,103651,80,N/A,N/A,220
Zavier Simpson ,74067,72,N/A,N/A,185
Grant Riller ,85385,75,N/A,N/A,195
Drew Eubanks ,83989,82,N/A,N/A,240
Horace Spencer ,59515,80,N/A,N/A,225
Kerry Blackshear Jr.,83931,82,N/A,N/A,260
Justin James ,84791,79,N/A,N/A,187
V.J. King ,43396,77.5,81.5,103,196
Doral Moore ,59514,85,N/A,N/A,280
Mamadi Diakite ,76392,81,N/A,N/A,214
Jordan Bowden ,106655,77,N/A,N/A,185
James Bolden ,84464,72,N/A,N/A,170
Joshua Langford ,54851,76.75,79.5,100,200
Lagerald Vick ,92824,77,N/A,N/A,175
Luke Knapke ,84876,83,N/A,N/A,235
Jimmy Whitt ,76757,75,N/A,N/A,175
Jackson Rowe ,112877,79,N/A,N/A,210
Michael Oguine ,84549,74,N/A,N/A,171
Barry Brown ,84242,75,N/A,N/A,195
Sam Bittner ,97493,78,N/A,N/A,210
Robert Franks ,84439,79,N/A,N/A,240
Isaiah Reese ,109413,77,N/A,N/A,185
Dewan Huell ,74082,82.5,84,N/A,236
Brandon Gilbeck ,89141,84,N/A,N/A,235
Darrian Ringo ,121834,74,N/A,N/A,173
James Dickey ,84935,82,N/A,N/A,200
Tre Scott ,84083,80,N/A,N/A,220
Jaren Lewis ,85091,78,N/A,N/A,215
Anthony Mathis ,84373,75,N/A,N/A,175
Dean Wade ,84884,82,N/A,N/A,225
De'Ron Davis ,54840,82,N/A,N/A,249
Kenny Williams ,73156,76,N/A,N/A,185
Fletcher Magee ,84828,76,N/A,N/A,193
De'Riante Jenkins ,76742,77,N/A,N/A,195
Makol Mawien ,73163,81,N/A,N/A,225
Jon Davis ,84174,75,N/A,N/A,200
Mark Vital ,85648,77,N/A,N/A,230
Scottie James ,90837,79,N/A,N/A,226
Joe Cremo ,85100,76,N/A,N/A,185
Eric Paschall ,80338,81,N/A,N/A,255
Sean McDermott ,85117,78,N/A,N/A,190
Jon Axel Gudmundsson ,52080,76,N/A,N/A,190
Garrison Mathews ,86747,77,N/A,N/A,210
Kyle Alexander ,76405,83.5,89.5,110,220
Terance Mann ,73135,78,78.5,N/A,204
Elijah Thomas ,53412,81,N/A,N/A,237
Esa Ahmad ,73146,80,N/A,N/A,225
Andre Wolford ,97689,74,N/A,N/A,175
Devontae Cacok ,85130,79,N/A,N/A,240
Dererk Pardon ,84037,80,N/A,N/A,235
Matej Svoboda ,27975,79,N/A,N/A,205
Dylan Windler ,87241,79,N/A,N/A,190
Levan Shawn Alston ,73151,75,77,N/A,180
Chris Silva ,83915,81,N/A,N/A,223
Jonathan Baehre ,107627,81,N/A,N/A,200
Ahmad Caver ,85447,74,N/A,N/A,170
Jeremy Harris ,84329,79,N/A,N/A,176
Quinndary Weatherspoon ,83967,76,N/A,N/A,202
Anthony Lawrence Jr.,83993,79,N/A,N/A,210
Dikembe Dixson ,84043,79,N/A,N/A,200
DJ Hogg ,73143,81,82.5,N/A,217
Andre Fox ,84804,76,N/A,N/A,185
Silas Melson ,81298,76,N/A,N/A,195
Jeff Roberson ,81060,78,82.5,102.5,218
Donte Ingram ,80830,78,N/A,N/A,215
Yante Maten ,81016,80.5,85,107.5,255
Eli Chuha ,97615,79,N/A,N/A,228
Josh Cunningham ,52347,79,N/A,N/A,233
Dylan Osetkowski ,80007,81,N/A,N/A,245
Matt Scott ,80915,76,N/A,N/A,185
Mitchell Solomon ,80273,81,N/A,N/A,250
James Palmer ,80097,78,N/A,N/A,210
Yankuba Sima ,65746,83,N/A,N/A,225
Chris Cokley ,80610,79.5,83,104.5,243
Matej Kavas ,32967,80,N/A,N/A,200
Malik Pope ,80946,81,86,108.75,212
Bryce Brown ,84102,75,N/A,N/A,198
Roosevelt Smart ,83979,75,N/A,N/A,185
Ismael Sanogo ,71585,80,N/A,N/A,215
Bennie Boatwright ,76229,81.5,81,N/A,232
Aaron Menzies ,72628,87,N/A,N/A,285
Demontrae Jefferson ,112342,67,N/A,N/A,150
Jalone Friday ,85116,81,N/A,N/A,250
Stephon Jelks ,81273,78,N/A,N/A,225
Zach Thomas ,81153,79,N/A,N/A,220
Hayden Dalton ,92823,81,83,106.5,192
Jeremiah Martin ,88074,75,N/A,N/A,184
Phil Cofer ,80066,80,N/A,N/A,218
Matthew Fisher-Davis ,81058,77,N/A,N/A,185
Kyron Cartwright ,80301,71,N/A,N/A,185
Tres Tinkle ,73144,80,N/A,N/A,220
Justin Johnson ,80601,78.5,80,102.5,243
Scottie Lindsey ,72682,77.5,84,104,210
Eddie Keith ,80563,77,N/A,N/A,240
Drew Urquhart ,72582,80,N/A,N/A,219
Justin Simon ,72686,77,83,N/A,215
Jakeenan Gant ,52551,80,N/A,N/A,210
Jalen Lindsey ,41491,79,80.5,N/A,227
Alize Johnson ,106664,81,N/A,N/A,206
Jordan McLaughlin ,52558,72,76.5,95.5,168
Brekkott Chapman ,81002,80,82,N/A,215
Shakur Juiston ,89022,79,N/A,N/A,220
Max Strus ,82568,78,82,N/A,215
Nicholas Baer ,79852,79,N/A,N/A,198
Jamuni McNeace ,80246,82,88,N/A,222
Desi Rodriguez ,71584,77,82,103,225
John Konchar ,81496,77,N/A,N/A,207
Deshon Taylor ,81441,74,N/A,N/A,185
Isaiah Wright ,81006,74,N/A,N/A,180
Luwane Pipkins ,83948,71,N/A,N/A,185
Zach Haney ,80964,83,N/A,N/A,239
Cameron Johnson ,80114,80,N/A,N/A,210
PJ Thompson ,79912,70,N/A,N/A,185
Travin Thibodeaux ,81343,81,N/A,N/A,242
Junior Robinson ,81083,65,N/A,N/A,150
Cameron Jackson ,81305,80,N/A,N/A,245
Joe Furstinger ,80950,81,N/A,N/A,230
Justin Tillman ,80387,79.5,87,107.5,215
Marcus Derrickson ,73159,80,85,N/A,250
Deng Adel ,73139,79,81.5,N/A,200
Joniah White ,80649,84,N/A,N/A,205
Leron Black ,41492,79,N/A,N/A,230
DeSean Murray ,80507,75,N/A,N/A,225
Justin Bibbins ,80546,68,N/A,N/A,150
Jaylen Barford ,107065,74.5,76,96,213
Jordan Caroline ,80783,79,N/A,N/A,235
Justin Bibbs ,80118,77.5,81.5,103,211
Chris Clarke ,76938,78,N/A,N/A,210
Jalen Henry ,81165,80,N/A,N/A,220
Jordan Howard ,81316,71,N/A,N/A,180
Zach Smith ,72478,80.25,84.5,105.5,216
