name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
Alexey Shved,2009,/player/Alexey-Shved/Summary/2320,77,78.25,186,76.5,102,NA,NA,NA,29,131,35,137,NA,NA,3.47
Alex Franklin,2010,/player/Alex-Franklin/Summary/18399,76.5,NA,231,82,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Harris,2008,/player/Alex-Harris/Summary/16898,76.5,77.5,191,81.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexis Ajinca,2007,/player/Alexis-Ajinca/Summary/775,NA,84.75,207,92.75,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Kirk,2009,/player/Alex-Kirk/Summary/9391,NA,81.5,226,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Kirk,2009,/player/Alex-Kirk/Summary/9391,NA,81.5,226,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Kirk,2014,/player/Alex-Kirk/Summary/9391,81.25,82.75,252,87.5,109.5,13.6,9.25,10.5,28.5,138,31.5,141,NA,11.2,3.48
Alex Kirk,2015,/player/Alex-Kirk/Summary/9391,82,83.25,275,87.5,109,NA,NA,NA,28,137,31.5,140.5,NA,12.14,3.57
Alex Len,2013,/player/Alex-Len/Summary/26866,NA,NA,NA,87.5,NA,6.4,9,10.75,NA,NA,NA,NA,NA,NA,NA
Alex Oriakhi,2011,/player/Alex-Oriakhi/Summary/2199,NA,81.25,238,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Oriakhi,2011,/player/Alex-Oriakhi/Summary/2199,NA,81.25,238,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Oriakhi,2013,/player/Alex-Oriakhi/Summary/2199,80,81.5,258,87.75,108,11.6,8.25,9,27,135,32.5,140.5,20,11.87,3.45
Alex Owens,2013,/player/Alex-Owens/Summary/53420,79,NA,251,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Poythress,2010,/player/Alex-Poythress/Summary/24266,80,NA,201,85,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Poythress,2010,/player/Alex-Poythress/Summary/24266,NA,80.5,204,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Poythress,2011,/player/Alex-Poythress/Summary/24266,NA,80,213,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
