,name,season,gp,mp,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,mp_tot,fgm_tot,fga_tot,fg3m_tot,fg3a_tot,ftm_tot,fta_tot,oreb_tot,dreb_tot,reb_tot,ast_tot,stl_tot,blk_tot,pf_tot,tov_tot,pts_tot,ts_pct,efg_pct,oreb_pct,dreb_pct,reb_pct,ast_pct,tov_pct,stl_pct,blk_pct,usg_pct,dbl_dbl,tpl_dbl,pts40,pts20,ast20,ast_to,stl_to,ft_fga,ff,season_count
5526,Matt Carroll,2011,53,11.245283018867925,0.9811320754716981,2.9622641509433962,0.22728301886792454,0.1509433962264151,0.8113207547169812,0.08332075471698114,0.5660377358490566,0.7169811320754716,0.22107547169811323,0.1509433962264151,0.9433962264150944,1.0943396226415094,0.7169811320754716,0.3018867924528302,0.1320754716981132,0.9811320754716981,0.4528301886792453,2.6792452830188678,596,52,157,8,43,30,38,8,50,58.0,38,16,7,52,24,142,0.332710265476501,0.24527987735534906,1.7759826796294824,9.622427805765435,5.6992052426974595,10.780921899007964,10.199942926916554,1.2241061505149453,0.6924891950525145,13.861261515480383,0,0,0,0,0,1.5833333333333333,0.6666666666666666,0.24203821656050956,3.039599951081251,9
5527,Matt Carroll,2012,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,20.42735042735043,0.0,0.0,0.0,0.0,0,0,0,0,0,inf,,,,10
5528,Matt Costello,2017,4,8.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,2.25,0.5,0.5,0.5,1.75,0.25,1.0,33,2,4,0,0,0,0,1,8,9.0,2,2,2,7,1,4,0.5,0.5,8.925925925925926,25.82262014080196,17.37427303336394,5.443548387096773,12.5,1.7379487913031038,3.761755485893417,12.47213426436698,0,0,0,0,0,2.0,2.0,0.0,5.110185185185186,1
5529,Matt Freije,2004,23,19.17391304347826,1.608695652173913,5.521739130434782,0.25856521739130434,0.6086956521739131,2.347826086956522,0.2021739130434783,0.21739130434782608,0.34782608695652173,0.13043478260869565,0.6956521739130435,1.9565217391304348,2.652173913043478,0.8695652173913043,0.5652173913043478,0.08695652173913043,1.7391304347826086,0.7391304347826086,4.043478260869565,441,37,127,14,54,5,8,16,45,61.0,20,13,2,40,17,93,0.32016868497261675,0.3115205446727186,3.687475282949679,10.75738172203154,7.22242850249061,6.81400760519571,14.513205684262491,1.2245297521032465,0.8722902311116532,18.842966453269113,1,0,0,0,0,1.1764705882352942,0.7647058823529411,0.06299212598425197,4.499853514422283,1
5530,Matt Freije,2006,19,7.052631578947368,0.8421052631578947,2.8421052631578947,0.18621052631578944,0.15789473684210525,1.1578947368421053,0.08947368421052632,0.2631578947368421,0.3157894736842105,0.09210526315789473,0.42105263157894735,0.8421052631578947,1.263157894736842,0.3684210526315789,0.15789473684210525,0.05263157894736842,0.6842105263157895,0.15789473684210525,2.1052631578947367,134,16,54,3,22,5,6,8,16,24.0,7,3,1,13,3,40,0.22076239230294584,0.20313283208020053,4.468017984591967,10.643744145577182,7.5558810650845745,6.165128842474381,2.725563909774436,0.7690687535748328,0.5540166204986149,14.35262353049543,0,0,0,0,0,2.3333333333333335,1.0,0.1111111111111111,1.6729143738607493,2
5544,Matt Walsh,2005,2,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3,1,1,0,0,0,2,0,0,0.0,0,0,0,0,1,2,0.5,0.5,0.0,0.0,0.0,0.0,26.59574468085107,0.0,0.0,43.1252052369032,0,0,0,0,0,0.0,0.0,2.0,7.148936170212767,1
5545,Matt Williams Jr.,2017,3,3.6666666666666665,0.6666666666666666,2.0,0.4166666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,11,2,6,1,5,0,0,0,1,1.0,0,0,0,1,1,5,0.5833333333333334,0.5833333333333334,0.0,14.035087719298247,7.017543859649123,0.0,16.666666666666668,0.0,0.0,26.623908657905588,0,0,0,0,0,0.0,0.0,0.0,4.4,1
5546,Matthew Dellavedova,2013,72,17.694444444444443,1.6944444444444444,4.111111111111111,0.3381805555555555,0.7916666666666666,2.1527777777777777,0.25505555555555554,0.5277777777777778,0.6666666666666666,0.2222222222222222,0.4027777777777778,1.3055555555555556,1.7083333333333333,2.5972222222222223,0.4583333333333333,0.06944444444444445,1.6805555555555556,0.8333333333333334,4.708333333333333,1274,122,296,57,155,38,48,29,94,123.0,187,33,5,121,60,339,0.42540822270767426,0.4126157407407408,4.408721813837848,7.872728000035916,6.140724906936883,20.593639703951837,12.676621083490872,1.1538146780823992,0.30589952188617037,12.4640486864474,3,0,0,1,1,3.1166666666666667,0.55,0.16216216216216217,4.240270254260909,1
5547,Matthew Dellavedova,2014,67,20.611940298507463,1.6567164179104477,4.582089552238806,0.3469552238805971,1.0149253731343284,2.4925373134328357,0.30747761194029855,0.43283582089552236,0.5671641791044776,0.20522388059701493,0.5522388059701493,1.328358208955224,1.8805970149253732,3.044776119402985,0.3582089552238806,0.029850746268656716,2.2686567164179103,0.9104477611940298,4.7611940298507465,1381,111,307,68,167,29,38,37,89,126.0,204,24,2,152,61,319,0.45233136182108563,0.4391241842734381,3.2486029923689634,6.667891612262848,4.958247302315906,19.85652013936791,11.868024727092171,0.8979128113337644,0.09822645630963593,12.088375899845536,2,0,0,0,0,3.3442622950819674,0.39344262295081966,0.1237785016286645,3.8109432292005105,2
5548,Matthew Dellavedova,2015,76,24.592105263157894,2.723684210526316,6.723684210526316,0.3899342105263157,1.2894736842105263,3.1447368421052633,0.37925000000000003,0.75,0.868421052631579,0.3750131578947369,0.4342105263157895,1.6973684210526316,2.1315789473684212,4.434210526315789,0.5789473684210527,0.11842105263157894,2.3421052631578947,1.5263157894736843,7.4868421052631575,1869,207,511,98,239,57,66,33,129,162.0,337,44,9,178,116,569,0.5132920912834179,0.4810057814992028,2.0962723787130457,7.979861428160352,5.0380669034366985,27.408338166412317,17.640173076613564,1.2566378068015285,0.4703632762807567,16.689949237571785,1,0,0,1,1,2.9051724137931036,0.3793103448275862,0.12915851272015655,5.041073834403704,3
